CodelistID;GroupType;SchemeID;CL Name;Codelist Description;Agency;CLID;Ver;Total Codes;Unique Codes;Common codes;Shared Codes;Similar Codelists;URL
SDMX:CL_SEX(2.1);GROUP;sex;Sex;This code list provides coded information about the state of being male or female. This concept is applied if data needs to be categorised by sex. It applies not only to human beings but also to animals and other living organisms.;SDMX;CL_SEX;2.1;7;0;5;2;['SDMX:CL_SEX(2.1)', 'IAEG-SDGs:CL_SEX(1.1)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_SEX/2.1
OECD:CL_STAT_UNIT(1.0);GROUP;statUnit;Statistical unit code list;Description not available;OECD;CL_STAT_UNIT;1.0;5;0;1;4;['UIS:CL_STAT_UNIT(1.0)', 'OECD:CL_STAT_UNIT(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_STAT_UNIT/1.0
UIS:CL_STAT_UNIT(1.0);GROUP;statUnit;Statistical unit;Description not available;UIS;CL_STAT_UNIT;1.0;26;24;1;1;['UIS:CL_STAT_UNIT(1.0)', 'OECD:CL_STAT_UNIT(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_STAT_UNIT/1.0
IMF:CL_TIME_COLLECT(1.0);GROUP;timePerCollect;Time period collection code list;Description not available;IMF;CL_TIME_COLLECT;1.0;10;0;0;10;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_TIME_COLLECT/1.0
SDMX:CL_TIME_FORMAT(1.0);SINGLE;timeFormat;Time Format;"This code list provides coded information (based on the ISO 8601 standard) indicating the type of time references used in the data. It was released in 2009. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_TIME_FORMAT;1.0;21;8;0;13;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIME_FORMAT/1.0
SDMX:CL_TIME_PER_COLLECT(1.0);GROUP;timePerCollect;Time Period - Collection;"This code list provides a list of values for representing dates or periods during which the observations have been collected in order to compile the indicator for the target reference period. This code list was formally adopted on 15 April 2015. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_TIME_PER_COLLECT;1.0;8;0;0;8;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIME_PER_COLLECT/1.0
SDMX:CL_TIMETRANS(1.0);GROUP;transformation;Time Transformation;Code list for compound coding (type and period) of transformation types of time series.;SDMX;CL_TIMETRANS;1.0;47;6;0;41;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS/1.0
SDMX:CL_TIMETRANS_PER(1.0);SINGLE;timeTransPer;Time Transformation Period;Code list for information about the number of periods used for a time-related transformation of the time series.;SDMX;CL_TIMETRANS_PER;1.0;12;0;10;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS_PER/1.0
SDMX:CL_TIMETRANS_TYPE(1.0);SINGLE;timeTransType;Time Transformation Type;Code list for time-related transformation types of time series.;SDMX;CL_TIMETRANS_TYPE;1.0;13;0;1;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS_TYPE/1.0
IMF:CL_ADJUSTMENT(1.4);GROUP;seasonalAdjust;Adjustment indicator;"Adjustment indicator is a statistical technique used to remove the effects of seasonal and calendar influences operating on a data series.
This codelist is based on the codelist CL_SEASONAL_ADJUST+1.0 in which the code _Z(Not applicable) was added. Extended for time transformations due to a missing transformation dimension.";IMF;CL_ADJUSTMENT;1.4;197;185;1;11;['ESTAT:CL_ADJUSTMENT(1.4)', 'IMF:CL_ADJUSTMENT(1.4)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ADJUSTMENT/1.4
UNSD:CL_TRADE_FLOW(1.0);SINGLE;tradeFlow;CL_TRADE_FLOW;Description not available;UNSD;CL_TRADE_FLOW;1.0;20;8;0;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRADE_FLOW/1.0
UNSD:CL_TRADE_SYSTEM(1.0);SINGLE;tradeSystem;CL_TRADE_SYSTEM;Description not available;UNSD;CL_TRADE_SYSTEM;1.0;4;0;0;4;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRADE_SYSTEM/1.0
ESTAT:CL_TRANSFORMATION(1.4);GROUP;transformation;Transformation codes;Time-related operation performed on a time series, solely involving observations of that time series.;ESTAT;CL_TRANSFORMATION;1.4;58;12;1;45;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_TRANSFORMATION/1.4
UNSD:CL_TRANSPORT_MODE(1.0);SINGLE;transportMode;CL_TRANSPORT_MODE;Description not available;UNSD;CL_TRANSPORT_MODE;1.0;16;15;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRANSPORT_MODE/1.0
OECD:CL_TYPE_ENTITY(1.1);SINGLE;typeEntity;Type of entity code list;Description not available;OECD;CL_TYPE_ENTITY;1.1;6;4;1;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_TYPE_ENTITY/1.1
UIS:CL_TYPE_EXP_REPORTED(1.0);SINGLE;expenditureReport;Type of expenditure reported;Description not available;UIS;CL_TYPE_EXP_REPORTED;1.0;5;2;3;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_TYPE_EXP_REPORTED/1.0
ESTAT:CL_UNIT(1.3);GROUP;unitMeasure;Unit of measurement and derived data codes;Description not available;ESTAT;CL_UNIT;1.3;546;0;3;543;['ESTAT:CL_UNIT(1.3)', 'IMF:CL_UNIT(1.18.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_UNIT/1.3
IMF:CL_UNIT(1.18.0);GROUP;unitMeasure;Unit of measure code list;Description not available;IMF;CL_UNIT;1.18.0;546;0;3;543;['ESTAT:CL_UNIT(1.3)', 'IMF:CL_UNIT(1.18.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_UNIT/1.18.0
IAEG-SDGs:CL_UNIT_MEASURE(1.17);GROUP;unitMeasure;SDG Unit of Measure code list;Description not available;IAEG-SDGs;CL_UNIT_MEASURE;1.17;55;44;0;11;['UNSD:CL_UNIT_MEASURE(1.0)', 'IAEG-SDGs:CL_UNIT_MEASURE(1.17)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_UNIT_MEASURE/1.17
UNSD:CL_UNIT_MEASURE(1.0);GROUP;unitMeasure;CL_UNIT_MEASURE;Description not available;UNSD;CL_UNIT_MEASURE;1.0;440;31;3;406;['UNSD:CL_UNIT_MEASURE(1.0)', 'IAEG-SDGs:CL_UNIT_MEASURE(1.17)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_UNIT_MEASURE/1.0
IAEG-SDGs:CL_AGE(1.19);GROUP;age;SDG age group code list;Description not available;IAEG-SDGs;CL_AGE;1.19;149;131;3;15;['SDMX:CL_AGE(1.0)', 'IAEG-SDGs:CL_AGE(1.19)', 'UIS:CL_AGE(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_AGE/1.19
SDMX:CL_UNIT_MULT(1.1);SINGLE;unitMult;Unit Multiplier;"This code list provides code values for indicating the magnitude in the units of measurement. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_UNIT_MULT;1.1;31;15;10;6;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_UNIT_MULT/1.1
IAEG-SDGs:CL_URBANISATION(1.10);GROUP;urbanisation;Degree of urbanisation code list;Description not available;IAEG-SDGs;CL_URBANISATION;1.10;5;0;1;4;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_URBANISATION/1.10
ESTAT:CL_VALUATION(1.6);SINGLE;valuation;Valuation;Description not available;ESTAT;CL_VALUATION;1.6;19;0;2;17;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_VALUATION/1.6
ESTAT:CL_VALUE_AP(1.0);SINGLE;valuesAp;Values for AP DSD;Description not available;ESTAT;CL_VALUE_AP;1.0;3;2;0;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_VALUE_AP/1.0
ESTAT:CL_WATER_FLOWS(1.0);SINGLE;waterFlows;Water flows;Sources of abstracted water, waste water, return flows of water… (+breakdowns);ESTAT;CL_WATER_FLOWS;1.0;32;26;1;5;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_WATER_FLOWS/1.0
ESTAT:SCL_CL_WSTATUS(1.0);GROUP;workStatus;SCL - Activity and employment status;<B> CONCEPT: </B> This code list describes the activity and working status of individuals. It contains information on their position in relation to the labour market (employed, unemployed, or inactive), their professional status (based on the ICSE classification), their working time (full-time or part-time). It also provides information on special sub-groups of the previously described population (e.g. farm labour force, retired persons, students, disabled persons, etc.).;ESTAT;SCL_CL_WSTATUS;1.0;82;15;0;67;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/SCL_CL_WSTATUS/1.0
ESTAT:SCL_WSTATUS(1.0);GROUP;workStatus;SCL_WSTATUS;Activity and employment status;ESTAT;SCL_WSTATUS;1.0;71;6;0;65;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/SCL_WSTATUS/1.0
SDMX:CL_AGE(1.0);GROUP;ageUnit;Age;"This code list provides a set of building blocks to be used for creating simple or complex code identifiers relating to the concept of ""age"" as defined in the Cross-Domain Concepts and the Metadata Common Vocabulary, i.e. the length of time that a person has lived or a thing has existed. This code list was formally adopted on 7 February 2014. More information about and supporting material for this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_AGE;1.0;5;0;0;5;['SDMX:CL_AGE(1.0)', 'IAEG-SDGs:CL_AGE(1.19)', 'UIS:CL_AGE(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_AGE/1.0
UIS:CL_AGE(1.0);GROUP;age;Age;Description not available;UIS;CL_AGE;1.0;81;33;4;44;['SDMX:CL_AGE(1.0)', 'IAEG-SDGs:CL_AGE(1.19)', 'UIS:CL_AGE(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_AGE/1.0
ESTAT:CL_AIRPOL(1.3.0);SINGLE;airPol;Air pollutants and greenhouse gasses;Air pollutants classification;ESTAT;CL_AIRPOL;1.3.0;26;21;1;4;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_AIRPOL/1.3.0
ESTAT:CL_AP_DEFINITION(1.0);SINGLE;adminPriceInd;Administered prices indicator;Description not available;ESTAT;CL_AP_DEFINITION;1.0;8;1;0;7;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_AP_DEFINITION/1.0
ESTAT:CL_AREA(1.8);GROUP;area;Area code list;Description not available;ESTAT;CL_AREA;1.8;841;0;2;839;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_AREA/1.8
IAEG-SDGs:CL_AREA(1.17);GROUP;area;SDG reference area code list;Description not available;IAEG-SDGs;CL_AREA;1.17;689;159;7;523;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_AREA/1.17
IMF:CL_ACCOUNTS_ITEM(1.8.0);GROUP;itemStocks;Item classification code list;Description not available;IMF;CL_ACCOUNTS_ITEM;1.8.0;375;240;1;134;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ACCOUNTS_ITEM/1.8.0
IMF:CL_AREA(1.17.0);GROUP;area;Area code list;Description not available;IMF;CL_AREA;1.17.0;919;64;2;853;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_AREA/1.17.0
SDMX:CL_AREA(2.0.1);GROUP;area;Reference area code list;Represents a combination of reference area codes in M49 and ISO-3166 classifications.;SDMX;CL_AREA;2.0.1;899;0;0;899;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_AREA/2.0.1
UIS:CL_AREA(1.0);GROUP;area;Reference area code list;Description not available;UIS;CL_AREA;1.0;900;0;0;900;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_AREA/1.0
UNSD:CL_AREA(1.0);GROUP;area;CL_AREA;Description not available;UNSD;CL_AREA;1.0;930;43;2;885;['SDMX:CL_AREA(2.0.1)', 'ESTAT:CL_AREA(1.8)', 'IMF:CL_AREA(1.17.0)', 'UNSD:CL_AREA(1.0)', 'IAEG-SDGs:CL_AREA(1.17)', 'UIS:CL_AREA(1.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_AREA/1.0
SDMX:CL_BREAK_REASON(1.0);SINGLE;breakReason;Reason for the break in time series;Description not available;SDMX;CL_BREAK_REASON;1.0;20;15;2;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_BREAK_REASON/1.0
UIS:CL_BREAKDOWN_GROUP(1.0);SINGLE;breakdownGroup;Breakdown group;Description not available;UIS;CL_BREAKDOWN_GROUP;1.0;14;14;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_BREAKDOWN_GROUP/1.0
ESTAT:CL_BRIDGE_ITEM(1.3.0);SINGLE;brideItem;Bridging items;Items used to bridge for territorial coverage;ESTAT;CL_BRIDGE_ITEM;1.3.0;16;14;1;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_BRIDGE_ITEM/1.3.0
SDMX:CL_CIVIL_STATUS(1.0);SINGLE;civilStatus;Civil (or Marital) Status;"This code list provides a list of values for describing the civil (or marital) status of an individual, i.e. the legal, conjugal status of an individual in relation to the marriage laws or customs of the country. This code list was formally adopted on 25 November 2013. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_CIVIL_STATUS;1.0;8;0;0;8;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_CIVIL_STATUS/1.0
ESTAT:CL_COFOG(1.0);GROUP;expenditureCofog;COFOG;Description not available;ESTAT;CL_COFOG;1.0;82;70;2;10;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COFOG/1.0
SDMX:CL_COFOG_1999(1.0);GROUP;expenditureCofog;Classification of the Functions of Government;"This code list provides a set of building blocks to be used for classifying final consumption expenditures of general government by function or purpose. It is based on the United Nations eponymous standard classification. This code list was formally adopted on 27 June 2014. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_COFOG_1999;1.0;188;178;0;10;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COFOG_1999/1.0
ESTAT:CL_ACTIVITY(1.11.0);GROUP;activity;Industrial activity code list;Description not available;ESTAT;CL_ACTIVITY;1.11.0;198;14;4;180;['ESTAT:CL_ACTIVITY93(1.6)', 'ESTAT:CL_ACTIVITY(1.11.0)', 'UNSD:CL_ACTIVITY(1.0)', 'IAEG-SDGs:CL_ACTIVITY(1.6)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ACTIVITY/1.11.0
ESTAT:CL_COICOP(2.0);GROUP;expenditureCoipop;COICOP;Description not available;ESTAT;CL_COICOP;2.0;780;0;2;778;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COICOP/2.0
SDMX:CL_COICOP_1999(1.1);GROUP;expenditureCoipop;Code list for concept “Classification of Individual Consumption According to Purpose” (ID: COICOP). 1999 revision.;Description not available;SDMX;CL_COICOP_1999;1.1;230;56;0;174;['SDMX:CL_COICOP_2018(1.0)', 'SDMX:CL_COICOP_1999(1.1)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COICOP_1999/1.1
SDMX:CL_COICOP_2018(1.0);GROUP;expenditureCoipop;Code list for concept “Classification of Individual Consumption According to Purpose” (ID: COICOP). 2018 revision.;Description not available;SDMX;CL_COICOP_2018;1.0;872;70;0;802;['SDMX:CL_COICOP_2018(1.0)', 'SDMX:CL_COICOP_1999(1.1)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COICOP_2018/1.0
UNSD:CL_COMMODITY(1.0);SINGLE;commodity;CL_COMMODITY;Description not available;UNSD;CL_COMMODITY;1.0;68191;68185;1;5;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_COMMODITY/1.0
IAEG-SDGs:CL_COMP_BREAKDOWN(1.18);SINGLE;compBreakdown;SDG composite breakdown code list;Description not available;IAEG-SDGs;CL_COMP_BREAKDOWN;1.18;363;362;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_COMP_BREAKDOWN/1.18
IMF:CL_COMP_METHOD(1.2);SINGLE;compMethod;Compilation methodology code list;Description not available;IMF;CL_COMP_METHOD;1.2;3;0;0;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_COMP_METHOD/1.2
SDMX:CL_CONF_STATUS(1.3);SINGLE;confStatus;Confidentiality Status;Description not available;SDMX;CL_CONF_STATUS;1.3;12;0;0;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_CONF_STATUS/1.3
ESTAT:CL_COPNI(1.0);GROUP;expenditureCopni;COPNI;Description not available;ESTAT;CL_COPNI;1.0;35;0;2;33;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPNI/1.0
SDMX:CL_COPNI_1999(1.0);GROUP;expenditureCopni;Classification of the Purposes of Non-Profit Institutions Serving Households;"This code list provides a set of building blocks to be used for classifying individual outlays of Non-Profit Institutions Serving Households (NPISHs) according to the purpose they serve. This code list was formally adopted on 27 June 2014. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_COPNI_1999;1.0;65;32;0;33;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPNI_1999/1.0
ESTAT:CL_COPP(1.0);GROUP;expenditureCopp;COPP;Description not available;ESTAT;CL_COPP;1.0;30;0;2;28;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPP/1.0
IAEG-SDGs:CL_ACTIVITY(1.6);GROUP;activity;Economic activity code list;Description not available;IAEG-SDGs;CL_ACTIVITY;1.6;32;8;1;23;['ESTAT:CL_ACTIVITY93(1.6)', 'ESTAT:CL_ACTIVITY(1.11.0)', 'UNSD:CL_ACTIVITY(1.0)', 'IAEG-SDGs:CL_ACTIVITY(1.6)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_ACTIVITY/1.6
SDMX:CL_COPP_1999(1.0);GROUP;expenditureCopp;Classification of the Outlays of Producers According to Purpose;"This code list provides a set of building blocks to be used for classifying outlays of enterprises by purpose. It is based on the United Nations eponymous standard classification. This code list was formally adopted on 27 June 2014. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_COPP_1999;1.0;51;23;0;28;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPP_1999/1.0
ESTAT:CL_COVERAGE_GEO(1.0);SINGLE;coverageGeo;Geographical coverage;Defines which type of region is used to compile the index;ESTAT;CL_COVERAGE_GEO;1.0;13;9;1;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_GEO/1.0
ESTAT:CL_COVERAGE_POP(1.1.0);SINGLE;coveragePop;Population coverage;Description not available;ESTAT;CL_COVERAGE_POP;1.1.0;14;12;1;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_POP/1.1.0
IMF:CL_CURRENCY(1.6);SINGLE;currency;Currency of issuance or invoicing code list;Description not available;IMF;CL_CURRENCY;1.6;272;0;3;269;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_CURRENCY/1.6
ESTAT:CL_CUST_BREAKDOWN(1.6.0);GROUP;custom;Custom breakdown code list (NA);Description not available;ESTAT;CL_CUST_BREAKDOWN;1.6.0;155;53;1;101;['ESTAT:CL_CUST_BREAKDOWN(1.6.0)', 'IAEG-SDGs:CL_CUST_BREAKDOWN(1.14)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_CUST_BREAKDOWN/1.6.0
